id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\BackgroundSelect.js,BackgroundSelect,Large Component,LOC: 135; Number of props: 11; Number of attributes: 0; Number of methods: 2,,
2,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Billing.js,Billing,Large Component,LOC: 200; Number of props: 2; Number of attributes: 0; Number of methods: 0,,
3,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Button.js,Button,Large Component,LOC: 58; Number of props: 19; Number of attributes: 0; Number of methods: 0,,
4,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Button.js,Button,Too many props,"Number of props: 19; Props: id,onClick,background,color,textColor,hoverBackground,hoverColor,disabled,selected,children,border,center,large,flex,padding,margin,title,Component,display",,
5,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Carbon.js,Carbon,Large Component,LOC: 332; Number of props: 33; Number of attributes: 3; Number of methods: 4,,
6,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Carbon.js,Carbon,Too many props,"Number of props: 33; Props: onChange,onGutterClick,leading,trailing,readOnly,from,to,selectionAt,css,config,children,screenReaderLabel,lineNumbers,firstLineNumber,mode,theme,scrollbarStyle,viewportMargin,lineWrapping,smartIndent,extraKeys,showInvisibles,autoCloseBrackets,innerRef,loading,width,height,titleBar,onTitleBarChange,copyable,editorRef,updateWidth,updateWidthConfirm",,
7,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Carbon.js,Carbon,Direct DOM Manipulation,"Line 185: document.getElementById('style-editor-button')
",,
8,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Carbon.js,Carbon,JSX outside the render method,"Methods with JSX: onBeforeChange,onSelection,onMouseUp,onSelectionChange",,
9,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Dropdown.js,Dropdown,Large Component,LOC: 83; Number of props: 14; Number of attributes: 2; Number of methods: 1,,
10,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Dropdown.js,Dropdown,Too many props,"Number of props: 14; Props: inputValue,itemsToShow,list,keys,onOpen,selected,innerRef,color,onChange,itemWrapper,icon,disableInput,title,labelId",,
11,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Editor.js,Editor,Large Component,LOC: 422; Number of props: 31; Number of attributes: 4; Number of methods: 26,,
12,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Editor.js,Editor,Too many props,"Number of props: 31; Props: snippet,loading,queryState,router,id,trailing,leading,code,titleBar,widthAdjustment,width,format,squared,exportSize,style,filter,height,type,key,preset,backgroundImage,backgroundImageSelection,backgroundMode,language,photographer,theme,highlights,toasts,backgroundColor,themes,canDrop",,
13,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Editor.js,Editor,Direct DOM Manipulation,"Line 181: const link = document.createElement('a')
",,
14,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Editor.js,Editor,JSX outside the render method,"Methods with JSX: componentDidMount,getTheme,sync,updateState,updateCode,updateTitleBar,updateWidth,getCarbonImage,tweet,imgur,exportImage,copyImage,updateSetting,resetDefaultSettings,onDrop,updateLanguage,updateBackground,updateTheme,updateHighlights,createTheme,removeTheme,applyPreset,format,handleSnippetCreate,handleSnippetUpdate,handleSnippetDelete",,
