Arquivo,Tem Code Smell,Número de Autores,Autores
public/app/core/components/AppChrome/History/HistoryWrapper.tsx,Sim,6,"Ashley Harrison, Alex Khomenko, Joao Silva, Hugo HÃ¤ggmark, Laura FernÃ¡ndez, Tom Ratcliffe"
packages/grafana-ui/src/components/Combobox/Combobox.test.tsx,Sim,10,"Ashley Harrison, Tobias Skarhed, renovate[bot], Kawthar Alakri, Joao Silva, Laura FernÃ¡ndez, Josh Hunt, Collin Fingar, Torkel Ã–degaard, Tom Ratcliffe"
packages/grafana-ui/src/components/Table/TableNG/Filter/FilterPopup.tsx,Sim,18,"Ashley Harrison, Paul Marbach, Alvaro Huarte, Kyle Cunningham, Tobias Skarhed, Oscar Kilhed, Jack Westbrook, Torkel Ã–degaard, Alex Spencer, kay delaney, Leon Sorokin, Josh Hunt, Ryan McKinley, Ihor Yeromin, Hugo HÃ¤ggmark, Laura FernÃ¡ndez, Drew Slobodnjak, Dominik Prokop"
public/app/plugins/panel/xychart/XYChartPanel.tsx,Não,11,"sam boyer, Ashley Harrison, Adela Almasan, Oscar Kilhed, Jack Westbrook, Victor Marin, Leon Sorokin, Josh Hunt, Ryan McKinley, Ihor Yeromin, Torkel Ã–degaard"
public/app/plugins/panel/welcome/Welcome.tsx,Não,6,"Ashley Harrison, kay delaney, Peter Holmberg, Josh Hunt, Ryan McKinley, Torkel Ã–degaard"
public/app/features/dashboard/components/DashboardPermissions/AccessControlDashboardPermissions.tsx,Não,5,"Karl Persson, Ashley Harrison, Josh Hunt, Hugo HÃ¤ggmark, Torkel Ã–degaard"
public/app/plugins/panel/trend/TrendPanel.tsx,Não,14,"sam boyer, Ashley Harrison, Adela Almasan, Nathan Marrs, Jack Westbrook, Kristina, Leon Sorokin, Ryan McKinley, Ihor Yeromin, Hugo HÃ¤ggmark, Piotr JamrÃ³z, Torkel Ã–degaard, jackyin, Drew Slobodnjak"
public/app/plugins/panel/traces/TracesPanel.tsx,Não,9,"Ashley Harrison, Andre Pereira, Domas, Joey, Andrej Ocenas, Hasith De Alwis, Ryan McKinley, Hugo HÃ¤ggmark, Joey Tawadrous"
public/app/features/dashboard/components/VersionHistory/VersionHistoryComparison.tsx,Não,9,"Ashley Harrison, Jack Westbrook, kay delaney, Stephanie Hingtgen, Victor Marin, Josh Hunt, Ryan McKinley, Hugo HÃ¤ggmark, Torkel Ã–degaard"
public/app/core/components/ValidationLabels/ValidationLabels.tsx,Não,3,"Hugo HÃ¤ggmark, Ashley Harrison, linoman"
public/app/features/visualization/data-hover/DataHoverRows.tsx,Não,6,"Ashley Harrison, Adela Almasan, Nathan Marrs, Leon Sorokin, Josh Hunt, Tom Ratcliffe"
public/app/features/visualization/data-hover/DataHoverTabs.tsx,Não,3,"Nathan Marrs, Ashley Harrison, Josh Hunt"
public/app/features/geo/editor/GazetteerPathEditor.tsx,Não,6,"Ashley Harrison, kay delaney, Josh Hunt, Ryan McKinley, nikki-kiga, Drew Slobodnjak"
