id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação Filter
1,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\packages\grafana-runtime\src\services\LocationService.tsx,HistoryWrapper,Large Component,LOC: 104; Number of props: 4; Number of attributes: 2; Number of methods: 10,,
2,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\packages\grafana-ui\src\components\Combobox\Combobox.test.tsx,ControlledCombobox,Large Component,LOC: 13; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
3,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\packages\grafana-ui\src\components\Combobox\Combobox.test.tsx,ControlledCombobox,Too many props,"Number of props: 14; Props: applyAccept,width,height,top,left,bottom,right,value,name,target,label,group,description,delay",,
4,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\packages\grafana-ui\src\components\Combobox\Combobox.tsx,Combobox,Large Component,LOC: 297; Number of props: 55; Number of attributes: 0; Number of methods: 0,,
5,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\packages\grafana-ui\src\components\Combobox\Combobox.tsx,Combobox,Too many props,"Number of props: 55; Props: options,onChange,value,placeholder,isClearable,createCustomValue,id,width,minWidth,maxWidth,autoFocus,onBlur,disabled,portalContainer,invalid,groupStartIndices,updateOptions,asyncLoading,asyncError,label,length,count,getScrollElement,estimateSize,overscan,rangeExtractor,isOpen,highlightedIndex,getInputProps,getMenuProps,getItemProps,selectItem,menuId,labelId,inputId,items,itemToString,selectedItem,onSelectedItemChange,defaultHighlightedIndex,scrollIntoView,onIsOpenChange,onHighlightedIndexChange,onStateChange,changes,inputValue,inputRef,floatingRef,floatStyles,scrollRef,loading,Wrapper,wrapperProps,ref,pointerEvents",,
6,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\packages\grafana-ui\src\components\Table\TableNG\Filter\FilterPopup.tsx,FilterPopup,Large Component,LOC: 134; Number of props: 11; Number of attributes: 0; Number of methods: 0,,
7,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\alerting\unified\rule-list\DataSourceRuleListItem.tsx,DataSourceRuleListItem,Large Component,LOC: 53; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
8,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\alerting\unified\rule-list\DataSourceRuleListItem.tsx,DataSourceRuleListItem,Too many props,"Number of props: 17; Props: rule,rulerRule,groupIdentifier,application,actions,showLocation,rulesSource,namespace,groupName,name,group,groupUrl,href,health,error,labels,origin",,
9,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\edit-pane\DashboardEditPaneSplitter.tsx,DashboardEditPaneSplitter,Large Component,LOC: 107; Number of props: 20; Number of attributes: 0; Number of methods: 1,,
10,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\edit-pane\DashboardEditPaneSplitter.tsx,DashboardEditPaneSplitter,Too many props,"Number of props: 20; Props: dashboard,isEditing,body,controls,editPane,containerProps,primaryProps,secondaryProps,splitterProps,splitterState,onToggleCollapse,direction,dragPosition,initialSize,handleSize,usePixels,collapseBelowPixels,collapsed,selectionContext,shouldActivateOrKeepAlive",,
11,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\scene\layout-auto-grid\AutoGridItem.tsx,AutoGridItem,Large Component,LOC: 151; Number of props: 20; Number of attributes: 5; Number of methods: 10,,
12,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\scene\layout-auto-grid\AutoGridItem.tsx,AutoGridItem,Too many props,"Number of props: 20; Props: variableNames,onVariableUpdateCompleted,conditionalRendering,body,name,options,value,text,query,values,texts,key,repeatSourceKey,$variables,repeatedPanels,variableName,width,height,top,left",,
13,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\scene\layout-auto-grid\AutoGridItem.tsx,AutoGridItem,Inheritance instead of composition,SuperClass: SceneObjectBase,,
14,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\scene\layout-default\DashboardGridItem.tsx,DashboardGridItem,Large Component,LOC: 239; Number of props: 16; Number of attributes: 6; Number of methods: 18,,
15,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\scene\layout-default\DashboardGridItem.tsx,DashboardGridItem,Too many props,"Number of props: 16; Props: body,width,name,options,value,text,query,values,texts,key,repeatSourceKey,$variables,repeatedPanels,variableName,maxPerRow,repeatDirection",,
16,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\scene\layout-rows\RowItem.tsx,RowItem,Large Component,LOC: 181; Number of props: 20; Number of attributes: 6; Number of methods: 27,,
17,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\scene\layout-rows\RowItem.tsx,RowItem,Too many props,"Number of props: 20; Props: statePaths,title,layout,conditionalRendering,typeName,instanceName,icon,text,yesText,onConfirm,key,elements,row,isDropTarget,hideHeader,fillScreen,repeatByVariable,repeatedRows,$variables,collapse",,
18,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\scene\layout-tabs\TabItem.tsx,TabItem,Large Component,LOC: 177; Number of props: 18; Number of attributes: 6; Number of methods: 22,,
19,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\scene\layout-tabs\TabItem.tsx,TabItem,Too many props,"Number of props: 18; Props: statePaths,title,layout,conditionalRendering,typeName,instanceName,icon,text,yesText,onConfirm,elements,tab,key,currentTabSlug,repeatByVariable,repeatedTabs,$variables,isDropTarget",,
20,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\dashboard-scene\settings\variables\editors\DataSourceVariableEditor.tsx,DataSourceVariableEditor,Large Component,LOC: 55; Number of props: 8; Number of attributes: 0; Number of methods: 6,,
21,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\features\explore\TraceView\components\TracePageHeader\SpanFilters\SpanFiltersTags.tsx,SpanFiltersTags,Large Component,LOC: 170; Number of props: 10; Number of attributes: 0; Number of methods: 6,,
22,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\plugins\datasource\azuremonitor\components\LogsQueryBuilder\AggregateItem.tsx,AggregateItem,Large Component,LOC: 135; Number of props: 13; Number of attributes: 0; Number of methods: 5,,
23,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\grafana\public\app\plugins\datasource\azuremonitor\components\LogsQueryBuilder\FilterItem.tsx,FilterItem,Large Component,LOC: 56; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
