Arquivo,Caminho,Tem Code Smell,Número de Autores,Autores
EditorBubbleMenu.tsx,enterprise\frontend\src\metabase-enterprise\rich_text_editing\tiptap\components\EditorBubbleMenu\EditorBubbleMenu.tsx,Sim,1,Kamil Mielnik
FlexContainer.tsx,enterprise\frontend\src\metabase-enterprise\rich_text_editing\tiptap\extensions\FlexContainer\FlexContainer.tsx,Sim,2,"Denis Berezin, Stas Gavrylov"
IllustrationWidget.tsx,enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\IllustrationWidget.tsx,Sim,7,"Denis Berezin, Kamil Mielnik, Mahatthana (Kelvin) Nomsawadi, NicolÃ² Pretto, Ryan Laurie, Uladzimir Havenchyk, Vamsi Peri"
IllustrationWidget.tsx,enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\IllustrationWidget.tsx,Sim,7,"Denis Berezin, Kamil Mielnik, Mahatthana (Kelvin) Nomsawadi, NicolÃ² Pretto, Ryan Laurie, Uladzimir Havenchyk, Vamsi Peri"
ImageUploadWidget.tsx,enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\ImageUploadWidget.tsx,Sim,1,Ryan Laurie
ImageUploadWidget.tsx,enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\ImageUploadWidget.tsx,Sim,1,Ryan Laurie
ExplicitSize.tsx,frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx,Sim,17,"Aleksandr Lesnenko, Alexander Lesnenko, Alexander Polyankin, Anton Kulyk, Dalton, Jesse Devaney, Kamil Mielnik, Kyle Doherty, Mahatthana (Kelvin) Nomsawadi, Nemanja Glumac, Oisin Coveney, Paul Rosenzweig, Romeo Van Snick, Ryan Laurie, Timofey Kachalov, Tom Robinson, Uladzimir Havenchyk"
ExplicitSize.tsx,frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx,Sim,17,"Aleksandr Lesnenko, Alexander Lesnenko, Alexander Polyankin, Anton Kulyk, Dalton, Jesse Devaney, Kamil Mielnik, Kyle Doherty, Mahatthana (Kelvin) Nomsawadi, Nemanja Glumac, Oisin Coveney, Paul Rosenzweig, Romeo Van Snick, Ryan Laurie, Timofey Kachalov, Tom Robinson, Uladzimir Havenchyk"
ExplicitSize.tsx,frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx,Sim,17,"Aleksandr Lesnenko, Alexander Lesnenko, Alexander Polyankin, Anton Kulyk, Dalton, Jesse Devaney, Kamil Mielnik, Kyle Doherty, Mahatthana (Kelvin) Nomsawadi, Nemanja Glumac, Oisin Coveney, Paul Rosenzweig, Romeo Van Snick, Ryan Laurie, Timofey Kachalov, Tom Robinson, Uladzimir Havenchyk"
ExplicitSize.tsx,frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx,Sim,17,"Aleksandr Lesnenko, Alexander Lesnenko, Alexander Polyankin, Anton Kulyk, Dalton, Jesse Devaney, Kamil Mielnik, Kyle Doherty, Mahatthana (Kelvin) Nomsawadi, Nemanja Glumac, Oisin Coveney, Paul Rosenzweig, Romeo Van Snick, Ryan Laurie, Timofey Kachalov, Tom Robinson, Uladzimir Havenchyk"
