Arquivo,Commits,Caminho_Completo
enterprise\frontend\src\metabase-enterprise\documents\components\Editor\Editor.tsx,9,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\documents\components\Editor\Editor.tsx
enterprise\frontend\src\metabase-enterprise\rich_text_editing\tiptap\components\EditorBubbleMenu\EditorBubbleMenu.tsx,1,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\rich_text_editing\tiptap\components\EditorBubbleMenu\EditorBubbleMenu.tsx
enterprise\frontend\src\metabase-enterprise\rich_text_editing\tiptap\extensions\FlexContainer\FlexContainer.tsx,2,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\rich_text_editing\tiptap\extensions\FlexContainer\FlexContainer.tsx
enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\IllustrationWidget.tsx,12,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\IllustrationWidget.tsx
enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\ImageUploadWidget.tsx,1,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\ImageUploadWidget.tsx
frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx,50,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx
frontend\src\metabase\common\components\Sortable\SortableList.tsx,15,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\common\components\Sortable\SortableList.tsx
frontend\src\metabase\public\components\EmbedModal\SelectEmbedTypePane\SelectEmbedTypePane.tsx,24,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\public\components\EmbedModal\SelectEmbedTypePane\SelectEmbedTypePane.tsx
frontend\src\metabase\query_builder\components\view\ViewHeader\ViewTitleHeader.tsx,11,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\query_builder\components\view\ViewHeader\ViewTitleHeader.tsx
frontend\src\metabase\query_builder\components\view\ViewHeader\components\ViewTitleHeaderRightSide\ViewTitleHeaderRightSide.tsx,24,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\query_builder\components\view\ViewHeader\components\ViewTitleHeaderRightSide\ViewTitleHeaderRightSide.tsx
frontend\src\metabase\visualizations\components\Visualization\Visualization.tsx,264,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\visualizations\components\Visualization\Visualization.tsx
frontend\src\metabase\visualizations\visualizations\CartesianChart\CartesianChart.tsx,32,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\visualizations\visualizations\CartesianChart\CartesianChart.tsx
