id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\documents\components\Editor\Editor.tsx,Editor,Large Component,LOC: 177; Number of props: 20; Number of attributes: 0; Number of methods: 0,,
2,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\documents\components\Editor\Editor.tsx,Editor,Too many props,"Number of props: 20; Props: onEditorReady,onCardEmbedsChange,initialContent,onChange,editable,onQuestionSelect,isLoading,getState,dropcursor,inline,HTMLAttributes,siteUrl,placeholder,suggestion,serializePrompt,extensions,content,autofocus,immediatelyRender,onUpdate",,
3,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\rich_text_editing\tiptap\components\EditorBubbleMenu\EditorBubbleMenu.tsx,EditorBubbleMenu,Large Component,LOC: 166; Number of props: 10; Number of attributes: 0; Number of methods: 0,,
4,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\rich_text_editing\tiptap\extensions\FlexContainer\FlexContainer.tsx,FlexContainerComponent,Large Component,LOC: 168; Number of props: 5; Number of attributes: 0; Number of methods: 3,,
5,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\IllustrationWidget.tsx,IllustrationWidget,Large Component,LOC: 192; Number of props: 11; Number of attributes: 0; Number of methods: 3,,
6,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\IllustrationWidget.tsx,IllustrationWidget,Uncontrolled component,"Line 234: <input
",,
7,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\ImageUploadWidget.tsx,ImageUploadWidget,Large Component,LOC: 133; Number of props: 8; Number of attributes: 0; Number of methods: 2,,
8,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\enterprise\frontend\src\metabase-enterprise\whitelabel\components\IllustrationWidget\ImageUploadWidget.tsx,ImageUploadWidget,Uncontrolled component,"Line 115: <input
",,
9,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx,WrappedComponent,Large Component,LOC: 206; Number of props: 11; Number of attributes: 8; Number of methods: 13,,
10,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx,WrappedComponent,JSX outside the render method,"Methods with JSX: _getElement,componentDidMount,componentDidUpdate,componentWillUnmount,_getRefreshMode,_updateRefreshMode,_updateSizeAndRefreshMode,_initResizeObserver,_updateResizeObserver,_teardownResizeObserver,_initMediaQueryListener,_teardownQueryMediaListener,__updateSize",,
11,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx,WrappedComponent,Large Component,LOC: 206; Number of props: 11; Number of attributes: 8; Number of methods: 13,,
12,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\common\components\ExplicitSize\ExplicitSize.tsx,WrappedComponent,JSX outside the render method,"Methods with JSX: _getElement,componentDidMount,componentDidUpdate,componentWillUnmount,_getRefreshMode,_updateRefreshMode,_updateSizeAndRefreshMode,_initResizeObserver,_updateResizeObserver,_teardownResizeObserver,_initMediaQueryListener,_teardownQueryMediaListener,__updateSize",,
13,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\common\components\Sortable\SortableList.tsx,SortableList,Large Component,LOC: 114; Number of props: 17; Number of attributes: 0; Number of methods: 3,,
14,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\common\components\Sortable\SortableList.tsx,SortableList,Too many props,"Number of props: 17; Props: items,getId,renderItem,onSortStart,onSortEnd,sensors,modifiers,useDragOverlay,dividers,active,over,id,newIndex,itemIds,item,isDragOverlay,index",,
15,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\public\components\EmbedModal\SelectEmbedTypePane\SelectEmbedTypePane.tsx,SelectEmbedTypePane,Large Component,LOC: 185; Number of props: 16; Number of attributes: 0; Number of methods: 2,,
16,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\public\components\EmbedModal\SelectEmbedTypePane\SelectEmbedTypePane.tsx,SelectEmbedTypePane,Too many props,"Number of props: 16; Props: resource,resourceType,onCreatePublicLink,onDeletePublicLink,getPublicUrl,goToNextStep,url,embedFlowUrl,utm_content,anchor,utm,artifact,source,display,alignItems,gap",,
17,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\metabase\frontend\src\metabase\query_builder\components\view\ViewHeader\components\ViewTitleHeaderRightSide\ViewTitleHeaderRightSide.tsx,ViewTitleHeaderRightSide,Large Component,LOC: 200; Number of props: 32; Number of attributes: 0; Number of methods: 0,,
