id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\mantine-ui\src\pages\query\ExplainViews\BinaryExpr\VectorVector.tsx,VectorVectorBinaryExprExplainView,Large Component,LOC: 329; Number of props: 24; Number of attributes: 0; Number of methods: 2,,
2,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\mantine-ui\src\pages\query\ExplainViews\BinaryExpr\VectorVector.tsx,VectorVectorBinaryExprExplainView,Too many props,"Number of props: 24; Props: node,lhs,rhs,key,defaultValue,matching,groups,numGroups,maxGroups,maxSeriesPerGroup,groupLabels,lhsCount,rhsCount,result,error,backgroundColor,borderRadius,border,borderColor,sample,manySideIdx,opacity,color,height",,
3,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\mantine-ui\src\pages\query\HistogramChart.tsx,HistogramChart,Large Component,LOC: 155; Number of props: 10; Number of attributes: 0; Number of methods: 0,,
4,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\mantine-ui\src\pages\query\HistogramChart.tsx,RenderHistogramBars,Large Component,LOC: 113; Number of props: 18; Number of attributes: 0; Number of methods: 0,,
5,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\mantine-ui\src\pages\query\HistogramChart.tsx,RenderHistogramBars,Too many props,"Number of props: 18; Props: buckets,scale,rangeMin,rangeMax,index,fds,fdMax,countMax,defaultExpBucketWidth,minPositive,maxNegative,startPositive,startNegative,xWidthNegative,xWidthTotal,left,width,height",,
6,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\mantine-ui\src\pages\query\MetricsExplorer\MetricsExplorer.tsx,MetricsExplorer,Large Component,LOC: 163; Number of props: 16; Number of attributes: 0; Number of methods: 1,,
7,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\mantine-ui\src\pages\query\MetricsExplorer\MetricsExplorer.tsx,MetricsExplorer,Too many props,"Number of props: 16; Props: metricNames,insertText,close,data,path,original,rendered,help,type,unit,items,__html,width,height,copied,copy",,
8,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\alerts\AlertContents.tsx,AlertsContent,Too many props,"Number of props: 17; Props: groups,statsCount,firing,pending,inactive,checked,ruleState,file,name,interval,rules,labels,target,fontSize,lineHeight,display,whiteSpace",,
9,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\DataTable.tsx,DataTable,Large Component,LOC: 142; Number of props: 3; Number of attributes: 0; Number of methods: 0,,
10,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\ExpressionInput.tsx,ExpressionInput,Large Component,LOC: 230; Number of props: 19; Number of attributes: 0; Number of methods: 2,,
11,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\ExpressionInput.tsx,ExpressionInput,Too many props,"Number of props: 19; Props: value,onExpressionChange,queryHistory,metricNames,executeQuery,loading,enableAutocomplete,enableHighlighting,enableLinter,theme,completeStrategy,doc,extensions,state,parent,effects,from,to,changes",,
12,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\Graph.tsx,Graph,Large Component,LOC: 223; Number of props: 12; Number of attributes: 5; Number of methods: 10,,
