id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ApplicationArea\ApplicationLayout\DesktopNavbar.jsx,DesktopNavbar,Large Component,LOC: 134; Number of props: 0; Number of attributes: 0; Number of methods: 0,,
2,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\CreateSourceDialog.jsx,CreateSourceDialog,Large Component,LOC: 175; Number of props: 12; Number of attributes: 4; Number of methods: 6,,
3,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\CreateSourceDialog.jsx,CreateSourceDialog,JSX outside the render method,"Methods with JSX: selectType,resetType,createSource,renderTypeSelector,renderForm,renderItem",,
4,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\dashboards\dashboard-widget\VisualizationWidget.jsx,VisualizationWidget,Large Component,LOC: 152; Number of props: 16; Number of attributes: 2; Number of methods: 6,,
5,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\dashboards\dashboard-widget\VisualizationWidget.jsx,VisualizationWidget,Too many props,"Number of props: 16; Props: widget,dashboard,filters,isPublic,isLoading,canEdit,isEditing,onLoad,onRefresh,onDelete,onParameterMappingsChange,localParameters,localFilters,paramOrder,canEditDashboard,onParametersEdit",,
6,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\dashboards\dashboard-widget\VisualizationWidget.jsx,VisualizationWidget,JSX outside the render method,"Methods with JSX: componentDidMount,onLocalFiltersChange,expandWidget,editParameterMappings,renderVisualization",,
7,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\dashboards\dashboard-widget\VisualizationWidget.jsx,VisualizationWidget,Props in initial state,"Lines 240 - 243: 
this.state = {localParameters: props.widget.getLocalParameters(),localFilters: props.filters,};",,
8,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\dashboards\dashboard-widget\Widget.jsx,Widget,Large Component,LOC: 71; Number of props: 18; Number of attributes: 2; Number of methods: 2,,
9,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\dashboards\dashboard-widget\Widget.jsx,Widget,Too many props,"Number of props: 18; Props: widget,className,children,header,footer,canEdit,isPublic,refreshStartedAt,menuOptions,tileProps,onDelete,title,content,okText,okType,onOk,maskClosable,autoFocusButton",,
10,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\dashboards\DashboardGrid.jsx,DashboardGrid,Large Component,LOC: 201; Number of props: 31; Number of attributes: 4; Number of methods: 9,,
